year,country,tcl_prim,tcl_pa,wf_ha,econ_free,cor_con,gov_eff,pol_stab,rule_law,reg_qual,voice_acc,ndays_prec_20mm,ndays_ab_30C,soy_avg_price (per Bushels),wheat_avg_price,hum,prec,temp,exchange_rate,Tot_Soy_Prod_BRA (kg),Tot_Soy_Ex_US (Kg),Tot_Soy_Ex_BRA (Kg),Tot_Soy_Ex_BRA (USD),Soy_ex_BRA_CHINA (Kg),Trade_BRA_CHINA (USD),Trade_US_CHINA (USD),Soy_Ex_US_CHINA (MT),Soy_Ex_US_CHINA (Kg),Soy_Prod(ha),Soy_Prod(Ton),hard_comm,logging,other natural disturbances,settlements & Infrastructure,unknown,wildfire,forest_loss_PA,forest_loss_SC,natural_fl,non_natural_fl,Deforestation,Forest,FCL_Soybean
2001,Brazil,,,,,,,,,,,,,$4.48 ,2.7418,77.07,1795.92,25.44,,15675542036,28723781000,15675542036,2725507890,3192322587,537663759,1012486222,"5,436,344",5436344000,13988351,37907259,7047,234538,19265,8014,11489,42238,2435467,49230,,164365,4215061,495252896,16020251
2002,Brazil,0.5723,0.907,0.029,0.783,0.9535,0.9409,1,0.8648,0.8848,0.9547,17.64,210.02,$5.05 ,3.2558,76.92,1788.89,25.47,2.92036302,15960002019,27674537000,15960002019,3029955564,4132664508,823446123,995836613,"4,861,427",4861427000,16376035,42107618,7575,275966,16879,9307,7634,52794,3143427,57245,592031,197441,4385465,492353266,17392374
2003,Brazil,0.5542,0.8441,0.035,0.8234,0.9579,1,0.8803,0.8223,0.8896,0.9413,13.06,198.69,$6.27 ,3.3615,76.84,1794.61,25.48,3.07747512,19873460334,30834700000,19873460334,4286800347,6101943086,1313073236,2888771621,"11,112,116",11112116000,18527544,51919440,6033,243518,17163,6934,6988,63410,2934752,38064,541379,167507,5658416,488470268,18443232
2004,Brazil,0.7119,1,0.0365,0.7936,0.8947,0.9117,0.7767,0.8085,0.8348,0.9165,13.95,219.82,$7.44 ,3.4786,76.82,1813.79,25.47,2.92511945,19177417356,25137971000,19177417356,5372628651,5678004818,1621735722,2328761501,"9,402,546",9402546000,21601340,49549941,8008,294902,14987,8135,7983,66126,3472617,53831,695403,205745,5536561,484653156,19992211
2005,Brazil,0.644,0.8914,0.0378,0.7872,0.8267,0.8785,0.7814,0.7773,0.8346,0.9481,13.24,211.28,$5.94 ,3.2152,76.84,1839.55,25.46,2.43439004,22297087863,25508224000,22297087863,5311765923,7131040017,1710492943,2248983344,"9,434,308",9434308000,23426756,51182074,9176,301210,21930,8296,7188,68569,3079034,43683,636581,211778,4471895,481863697,22352306
2006,Brazil,0.4994,0.7129,0.0401,0.7702,0.8446,0.76,0.7697,0.8078,0.8077,0.9674,15.99,200.7,$5.65 ,4.0607,76.85,1864.67,25.45,2.17532667,24887712056,28179967000,24887712056,5647357557,10756566919,2428650146,2531852808,"10,320,990",10320990000,22082666,52464640,7022,291707,19746,8075,7160,72291,2479103,49570,611402,210762,3694155,479716647,22987941
2007,Brazil,0.4053,0.6277,0.0647,0.6702,0.8642,0.8112,0.7464,0.8048,0.814,0.9843,15.99,216.39,$8.19 ,6.4086,76.83,1881.89,25.44,1.94705833,23665423245,29776868000,23665423245,6683731589,10071882193,2831860767,4117405498,"11,771,605",11771605000,20571393,57857172,11071,277127,23509,9946,8420,116422,2189813,44518,669264,198753,3184056,478115012,23037758
2008,Brazil,0.379,0.5891,0.0417,0.6702,0.9112,0.8833,0.7628,0.8558,0.8484,0.9989,15.77,203.03,$11.91 ,7.9908,76.74,1883.94,25.45,1.83376667,24499448144,33816448000,24499448144,10952173105,11823573030,5324052177,7259676042,"16,512,163",16512163000,21252721,59833105,11584,269941,18747,10111,8052,75082,2056895,49944,610941,192356,3278888,476381478,22453125
2009,Brazil,0.2464,0.4115,0.044,0.6809,0.8663,0.8817,0.9393,0.9329,0.8658,0.9775,14.63,222.56,$10.21 ,5.3381,76.56,1866.25,25.48,1.99942817,28562684349,40372076000,28562684349,11424264951,15939968051,6342964920,9193670635,"22,817,676",22817676000,21761782,57345382,11622,227108,24666,8908,7157,79533,1441226,59765,503982,174095,2492938,475273035,23119198
2010,Brazil,0.4066,0.6116,0.1121,0.6574,0.933,0.9144,0.8838,1,0.9068,1,17.59,194.89,$10.32 ,5.8712,76.32,1833.89,25.53,1.75922671,29073156063,42318717000,29073156063,11042999979,19064457911,7133440544,10863827087,"24,313,182",24313182000,23339094,68756343,13275,290941,35150,10356,9835,200196,2140928,52355,734663,231092,2439379,474525050,24406361
2011,Brazil,0.2828,0.4241,0.0694,0.6723,1,0.8812,0.8297,0.9953,0.9107,0.9737,17.98,202.35,$12.97 ,7.1443,76.06,1793.99,25.59,1.67282876,32975560305,34375837000,32975560305,16322085276,22094719466,10951902030,10507643954,"20,691,515",20691515000,24032410,74815447,12815,260752,35704,8764,9131,124252,1487049,31409,473957,247882,2471260,473723456,24695786
2012,Brazil,0.3935,0.6448,0.1177,0.7064,0.8842,0.8771,0.8958,0.9442,0.8816,0.9573,15.35,233.17,$14.57 ,7.5412,75.83,1753.6,25.64,1.95306861,32906396852,43623124758,32906396852,17449785616,22885886927,12028317833,14877640522,"26,195,525",26195524500,25090559,65848857,19281,369256,50851,14088,29963,211624,2283368,45009,941112,353014,2868679,472574923,25895279
2013,Brazil,0.2223,0.4232,0.0713,0.7021,0.8567,0.8981,0.7831,0.9379,0.8723,0.9297,18.38,203.94,$14.19 ,6.8608,75.66,1720.07,25.68,2.15608915,42796103841,39364434926,42796103841,22812299141,32251520741,17147972473,13299867803,"24,553,556",24553555900,27948605,81724477,28090,494988,39562,21497,19126,265716,1519641,93362,836843,343177,3266045,471081973,26331589
2014,Brazil,0.3315,0.6031,0.1007,0.6851,0.7124,0.8693,0.8528,0.9542,0.8122,0.9546,13.82,219.09,$12.49 ,5.8908,75.6,1699.81,25.71,2.35295196,45691999528,49566745022,45691999528,23277378054,32664328180,16615159624,14476293148,"30,827,882",30827882000,30308231,86760520,26451,314862,45508,12814,11252,190715,2164775,78415,1108612,433234,2881076,469714021,28271850
2015,Brazil,0.2919,0.4983,0.1189,0.6787,0.663,0.829,0.756,0.8979,0.7593,0.9486,18.05,212.33,$9.34 ,5.0836,75.65,1692.63,25.72,3.32690438,54324238177,48151570035,54324238177,20983574666,40925506994,15787785730,10488691124,"27,258,629",27258629100,32206387,97464936,26228,215962,28111,7609,4602,219580,1789735,52012,877396,369211,3069167,468282674,30734020
2016,Brazil,1,0.8761,1,0.6766,0.6693,0.832,0.7378,0.8921,0.7565,0.9455,15.72,215.26,$9.84 ,4.3945,75.75,1694.39,25.72,3.49131342,51581874685,57796967498,51581874685,19331323434,38563909133,14386114595,14202579446,"36,051,023",36051022500,33339305,96394820,30976,350981,99630,11375,7896,1799357,3108900,155211,3214767,507097,2878535,466961660,32404648
2017,Brazil,0.7537,0.8101,0.6443,0.6,0.6082,0.7976,0.7013,0.8485,0.7768,0.9444,13.54,238.51,$9.81 ,4.4014,75.88,1700.83,25.72,3.19138945,68154568712,55262501330,68154568712,25717736995,53796980317,20310207678,12224417839,"31,688,893",31688893300,34004361,114732101,40216,390551,62126,13465,11146,1156381,2876618,138528,2498636,515597,2628733,465972912,34764466
2018,Brazil,0.4752,0.6227,0.2172,0.5681,0.6506,0.6944,0.7088,0.8498,0.721,0.9112,16.82,241.34,$9.35 ,4.9757,76,1707.74,25.71,3.65382536,83257776652,46182863506,83257776652,33055027250,68556622506,27233070721,3119229048,"8,235,317",8235317000,34838351,117912450,26355,298346,29453,7173,3381,395431,2214358,106185,1566973,438920,2642263,465012098,35795663
2019,Brazil,0.4802,0.5865,0.1834,0.5787,0.6899,0.8397,0.6146,0.8825,0.7801,0.8767,16.36,224.51,$8.93 ,4.9414,76.08,1710.94,25.72,3.9444711,74073052656,52356899932,74073052656,26077190195,57963479623,20452339452,8004855016,"22,612,165",22612164500,35944094,114316829,26251,265435,33569,6081,3776,331131,2088095,65354,1512562,411693,3618527,463100111,36588996
2020,Brazil,0.6013,0.6015,0.4819,0.617,0.6785,0.7222,0.7135,0.8793,0.7837,0.8703,16.31,210.13,$9.53 ,5.498,76.08,1708.27,25.73,5.15517879,82973423739,63650268028,82973423739,28564147240,60595850757,20903176750,14065713744,"34,171,192",34171192200,37205462,121820949,26127,254205,44390,6311,4319,866453,2151573,79129,2412874,395317,3585076,461016275,37021112
2021,Brazil,0.5459,0.6277,0.275,0.6106,0.6408,0.7084,0.7235,0.8502,0.78,0.8553,14.71,232.68,$13.69 ,7.0402,76.04,1700.72,25.76,5.39440079,86109796364,52913481313,86109796364,38638730742,60476115551,27208101300,14116051767,"27,367,379",27367379400,39143946,134799179,26755,260073,36439,5987,4589,497500,2249327,59841,2937789,388056,3819213,458535781,38010297
2022,Brazil,0.6256,0.7282,0.2704,0.6085,0.6046,0.6601,0.7327,0.8684,0.746,0.8419,16.77,226.07,$15.51 ,9.5175,75.95,1689.52,25.79,5.16397029,78730124033,56898358758,78730124033,46558539814,53615701544,31782504656,17917153262,"30,226,937",30226936900,41297663,121290103,28672,253253,26528,6204,4766,488247,2609515,57634,3430619,335143,4193736,455660695,39203553
2023,Brazil,0.4007,0.5732,0.2814,0.6128,0.6384,0.6811,0.7277,0.8471,0.7198,0.9139,17.54,209.62,$14.16 ,7.2275,75.83,1675.88,25.82,4.99437976,1.02E+11,4.83E+10,1.02E+11,5.32E+10,74471943801,38917721136,15056636868,"26,390,800",26390799700,44423983,152144238,30129,220111,38582,6778,2036,515333,2120879,81898,3070628,327571,4079378,452804653,39801721
2024,,,,,,,,,,,,,,$11.04 ,,75.7,1660.98,25.86,5.38893491,98814515664,52206387516,98814515664,42949763522,72515412964,31489699369,12636618016,"26,808,615",26808615100,,,,,,,,,,,,,,,40727092